show_id,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,added_year,added_month,genres,countries,Movie,TV Show
81193313,chocolate,no director listed,"ha ji-won, yoon kye-sang, jang seung-jo, kang bu-ja, lee jae-ryong, min jin-woong, kim won-hae, yoo teo",south korea,2019-11-30,2019,tv-14,1 season,"international tv shows, korean tv shows, romantic tv shows","brought together by meaningful meals in the past and present, a doctor and a chef are reacquainted when they begin working at a hospice ward.",2019.0,November,"['international tv shows', 'korean tv shows', 'romantic tv shows']",['south korea'],False,True
81197050,guatemala: heart of the mayan world,"luis ara, ignacio jaunsolo",christian morales,country not specified,2019-11-30,2019,tv-g,67 min,"documentaries, international movies","from sierra de las minas to esquipulas, explore guatemala's cultural and geological wealth, including ancient mayan cities and other natural wonders.",2019.0,November,"['documentaries', 'international movies']",['country not specified'],True,False
81213894,the zoya factor,abhishek sharma,"sonam kapoor, dulquer salmaan, sanjay kapoor, sikander kher, angad bedi, koel purie, pooja bhamrah, manu rishi chadha",india,2019-11-30,2019,tv-14,135 min,"comedies, dramas, international movies","a goofy copywriter unwittingly convinces the indian cricket team that she’s their lucky mascot, to the dismay of their superstition-shunning captain.",2019.0,November,"['comedies', 'dramas', 'international movies']",['india'],True,False
81082007,atlantics,mati diop,"mama sane, amadou mbow, ibrahima traore, nicole sougou, amina kane, mariama gassama, coumba dieng, ibrahima mbaye, diankou sembene","france, senegal, belgium",2019-11-29,2019,tv-14,106 min,"dramas, independent movies, international movies","arranged to marry a rich man, young ada is crushed when her true love goes missing at sea during a migration attempt – until a miracle reunites them.",2019.0,November,"['dramas', 'independent movies', 'international movies']","['france', 'senegal', 'belgium']",True,False
80213643,chip and potato,no director listed,"abigail oliver, andrea libman, briana buckmaster, brian dobson, chance hurstfield, dominic good, emma jayne maas, evan byarushengo, scotia anderson, alessandro juliani","canada, united kingdom",,2019,tv-y,2 seasons,kids' tv,"lovable pug chip starts kindergarten, makes new friends and tries new things – with a little help from potato, her secret mouse pal.",,,"[""kids' tv""]","['canada', 'united kingdom']",False,True
81172754,crazy people,moses inwang,"ramsey nouah, chigul, sola sobowale, ireti doyle, ben touitou, francis onwochei, ememobong nkana, emem inwang, patrick onyeke",nigeria,2019-11-29,2018,tv-14,107 min,"comedies, international movies, thrillers",nollywood star ramsey nouah learns that someone is impersonating him and breaks out of a mental institution to expose the imposter.,2019.0,November,"['comedies', 'international movies', 'thrillers']",['nigeria'],True,False
81120982,i lost my body,jérémy clapin,"hakim faris, victoire du bois, patrick d'assumçao, dev patel, alia shawkat, george wendt",france,2019-11-29,2019,tv-ma,81 min,"dramas, independent movies, international movies","romance, mystery and adventure intertwine as a young man falls in love and a severed hand scours paris for its owner in this mesmerizing animated film.",2019.0,November,"['dramas', 'independent movies', 'international movies']",['france'],True,False
81227195,kalushi: the story of solomon mahlangu,mandla dube,"thabo rametsi, thabo malema, welile nzuza, jafta mamabolo, louw venter, pearl thusi",south africa,2019-11-29,2016,tv-ma,107 min,"dramas, international movies","the life and times of iconic south african liberation fighter solomon mahlangu, who battled the forces of apartheid, come into focus.",2019.0,November,"['dramas', 'international movies']",['south africa'],True,False
70205672,la reina del sur,no director listed,"kate del castillo, cristina urgel, alberto jiménez, juan josé arjona, humberto zurita, dagoberto gama, christian tappán, miguel de miguel, salvador zerboni, carmen navarro, santiago meléndez, juan carlos solarte","united states, spain, colombia, mexico",,2019,tv-14,2 seasons,"crime tv shows, international tv shows, spanish-language tv shows","this compelling show tells the story of the legendary teresa mendoza, a courageous woman who is perceived as conquering the world of drug trafficking.",,,"['crime tv shows', 'international tv shows', 'spanish-language tv shows']","['united states', 'spain', 'colombia', 'mexico']",False,True
81172841,lagos real fake life,mike ezuruonye,"nonso diobi, mike ezuruonye, mercy aigbe, rex nosa, annie macaulay idibia, ik ogbonna, nedu wazobia, uzee usman, odunlade adekola, mr jollof, efe irele, josh 2 funny, haillie sumney, emmanuella, mc lively",country not specified,2019-11-29,2018,tv-14,118 min,"comedies, international movies","two mooching friends vie for the attention of wealthy, beautiful women only to discover that their lavish lifestyles are bogus.",2019.0,November,"['comedies', 'international movies']",['country not specified'],True,False
81172899,payday,cheta chukwu,"baaj adebule, ebiye victor, meg otanwa, bisola aiyeola, mawuli gavor, zack orji, segilola ogidan",nigeria,2019-11-29,2018,tv-ma,110 min,"comedies, independent movies, international movies","after an expensive night out, two flatmates get tangled in an overnight misadventure to recover their rent money to pay their dead landlord's daughter.",2019.0,November,"['comedies', 'independent movies', 'international movies']",['nigeria'],True,False
